name,year,set,card_number,player,sport,parallel,grade,grader,condition,quantity,acquired_price,image_url,notes,scp_id,collx_id,collx_market_value,collx_asking_price
2025 Panini Select Ashton Jeanty #4 (RC),2025,2025 Panini Select,4,Ashton Jeanty,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082981614524640256-1-G9Rb.jpg,,,1082981614524640256,1.00,
2025 Panini Select Josh Conerly Jr. #187,2025,2025 Panini Select,187,Josh Conerly Jr.,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082981631268301824-1-Lehc.jpg,,,1082981631268301824,1.00,
2025 Panini Select Nick Martin #216 (RC),2025,2025 Panini Select,216,Nick Martin,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082978330476882944-1-BX5V.jpg,,,1082978330476882944,1.00,
2025 Panini Select - Select Certified Rookies Tyler Warren #8,2025,2025 Panini Select - Select Certified Rookies,8,Tyler Warren,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082978360365493248-1-xGwf.jpg,,,1082978360365493248,1.19,
2025 Panini Select Josh Allen #86,2025,2025 Panini Select,86,Josh Allen,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082978380464598016-1-gUX0.jpg,,,1082978380464598016,1.27,
2025 Panini Select - Silver Prizm Trevor Etienne #45,2025,2025 Panini Select - Silver Prizm,45,Trevor Etienne,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082978396520393728-1-SOlC.jpg,,,1082978396520393728,0.99,
2025 Panini Select - Silver Prizm Tank Bigsby #129,2025,2025 Panini Select - Silver Prizm,129,Tank Bigsby,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082978421476502528-1-1Z5m.jpg,,,1082978421476502528,0.99,
2025 Panini Select Travis Hunter #28 (RC),2025,2025 Panini Select,28,Travis Hunter,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082978464023522304-1-gzM.jpg,,,1082978464023522304,0.99,
2025 Panini Select - Silver Prizm Matthew Golden #66 (RC),2025,2025 Panini Select - Silver Prizm,66,Matthew Golden,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082978484676275200-1-hvnz.jpg,,,1082978484676275200,1.31,
2025 Panini Select Harold Fannin Jr. #155 (RC),2025,2025 Panini Select,155,Harold Fannin Jr.,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082978504808934400-1-nWxE.jpg,,,1082978504808934400,1.00,
2025 Panini Select Marvin Harrison Jr. #22,2025,2025 Panini Select,22,Marvin Harrison Jr.,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082978551315377152-1-pnk9.jpg,,,1082978551315377152,0.99,
2025 Panini Select - Silver Prizm Kyren Williams #19,2025,2025 Panini Select - Silver Prizm,19,Kyren Williams,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082978590490176512-1-gQkR.jpg,,,1082978590490176512,0.44,
2025 Panini Select Emeka Egbuka #37,2025,2025 Panini Select,37,Emeka Egbuka,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082978605749054464-1-nKZC.jpg,,,1082978605749054464,1.07,
2025 Panini Select - Select Numbers T.J. Watt #18,2025,2025 Panini Select - Select Numbers,18,T.J. Watt,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082978707729361920-1-ATzn.jpg,,,1082978707729361920,1.49,
2025 Panini Phoenix Brock Bowers #146,2025,2025 Panini Phoenix,146,Brock Bowers,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082974853491141632-1-Q2V7.jpg,,,1082974853491141632,1.50,
2025 Panini Phoenix - Silver Pyramids Prizm Alex Highsmith #67,2025,2025 Panini Phoenix - Silver Pyramids Prizm,67,Alex Highsmith,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082974884285721600-1-WuoE.jpg,,,1082974884285721600,0.99,
2025 Panini Mosaic Jaylin Lane #306 (RC),2025,2025 Panini Mosaic,306,Jaylin Lane,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082974902329617408-1-Qb14.jpg,,,1082974902329617408,,
2025 Panini Select Dillon Gabriel #154 (RC),2025,2025 Panini Select,154,Dillon Gabriel,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082974922890095616-1-CBgH.jpg,,,1082974922890095616,1.43,
2025 Panini Select - Select Numbers Micah Parsons #5,2025,2025 Panini Select - Select Numbers,5,Micah Parsons,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082974988489010176-1-fI75.jpg,,,1082974988489010176,1.32,
2025 Panini Select - Red and Blue Prizm Shock Tyleik Williams #169,2025,2025 Panini Select - Red and Blue Prizm Shock,169,Tyleik Williams,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082975004452531200-1-618F.jpg,,,1082975004452531200,,
2025 Panini Select - Red and Blue Prizm Shock Chimere Dike #27,2025,2025 Panini Select - Red and Blue Prizm Shock,27,Chimere Dike,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082975031975554048-1-5FwI.jpg,,,1082975031975554048,1.99,
2025 Panini Select - Red and Blue Prizm Shock Jared Goff #69,2025,2025 Panini Select - Red and Blue Prizm Shock,69,Jared Goff,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082975080629480448-1-qogY.jpg,,,1082975080629480448,,
2025 Panini Select - Red and Blue Prizm Shock Elic Ayomanor #127,2025,2025 Panini Select - Red and Blue Prizm Shock,127,Elic Ayomanor,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082975106818714624-1-Pfv.jpg,,,1082975106818714624,1.49,
2025 Panini Select - Select Future Omarion Hampton #13,2025,2025 Panini Select - Select Future,13,Omarion Hampton,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082975130013215744-1-BucY.jpg,,,1082975130013215744,0.99,
2025 Panini Select - Red and Blue Prizm Shock Trevor Etienne #45,2025,2025 Panini Select - Red and Blue Prizm Shock,45,Trevor Etienne,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082975166897925120-1-nkn.jpg,,,1082975166897925120,,
2025 Panini Select Shedeur Sanders #54 (RC),2025,2025 Panini Select,54,Shedeur Sanders,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082975202390125568-1-pzA8.jpg,,,1082975202390125568,1.49,
2025 Bowman University Chrome Nolan Ray #77,2025,2025 Bowman University Chrome,77,Nolan Ray,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082954002129562624-1-vPaB.jpg,,,1082954002129562624,1.00,
2025 Bowman University Chrome Michael Van Buren Jr. #53,2025,2025 Bowman University Chrome,53,Michael Van Buren Jr.,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082954021767293952-1-bzF.jpg,,,1082954021767293952,1.25,
2025 Bowman University Chrome - Refractor Eli Sanders #177,2025,2025 Bowman University Chrome - Refractor,177,Eli Sanders,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082954040373226496-1-Iita.jpg,,,1082954040373226496,0.99,
2025 Bowman University Chrome De'Zhaun Stribling #182,2025,2025 Bowman University Chrome,182,De'Zhaun Stribling,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082954068223405056-1-Cg5R.jpg,,,1082954068223405056,1.29,
2025 Bowman University Chrome - Aqua Refractor Quinton Martin Jr. #167 (SN325),2025,2025 Bowman University Chrome - Aqua Refractor,167,Quinton Martin Jr.,Football,SN325,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082954110577486848-1-njQg.jpg,,,1082954110577486848,1.50,
2025 Bowman University Chrome - Path to Glory LaNorris Sellers #PG-5,2025,2025 Bowman University Chrome - Path to Glory,PG-5,LaNorris Sellers,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082954125827976192-1-NARc.jpg,,,1082954125827976192,1.26,
2025 Bowman University Chrome - 1955 Bowman Football Blue Refractor Gunner Stockton #55AV-4 (SN150),2025,2025 Bowman University Chrome - 1955 Bowman Football Blue Refractor,55AV-4,Gunner Stockton,Football,SN150,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082954148267502592-1-zbT.jpg,,,1082954148267502592,5.50,
2025 Bowman University Chrome - Pink Lava Refractor Chase Roberts #51,2025,2025 Bowman University Chrome - Pink Lava Refractor,51,Chase Roberts,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082954165313154048-1-bkJ.jpg,,,1082954165313154048,1.99,
2025 Donruss Khalil Shakir #53,2025,2025 Donruss,53,Khalil Shakir,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082954184875387904-1-532f.jpg,,,1082954184875387904,0.13,
2025 Donruss Christian McCaffrey #161,2025,2025 Donruss,161,Christian McCaffrey,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082954231583157248-1-1VM4.jpg,,,1082954231583157248,0.29,
2025 Panini Prizm - Silver Baker Mayfield #283,2025,2025 Panini Prizm - Silver,283,Baker Mayfield,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082954258300873728-1-5eIy.jpg,,,1082954258300873728,1.75,
2025 Donruss D’Andre Swift #226,2025,2025 Donruss,226,D’Andre Swift,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082954271127055360-1-iykp.jpg,,,1082954271127055360,0.11,
2025 Panini Phoenix - Silver Hyper Prizm Bo Nix #83,2025,2025 Panini Phoenix - Silver Hyper Prizm,83,Bo Nix,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082941324149468160-1-Cseu.jpg,,,1082941324149468160,2.99,
2025 Donruss Mike Williams #100,2025,2025 Donruss,100,Mike Williams,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082941338804366336-1-l4CG.jpg,,,1082941338804366336,1.40,
2025 Panini Select Trey McBride #124,2025,2025 Panini Select,124,Trey McBride,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082941365228481536-1-tVCm.jpg,,,1082941365228481536,1.99,
2025 Panini Select Baker Mayfield #137,2025,2025 Panini Select,137,Baker Mayfield,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082941408975072256-1-QAn.jpg,,,1082941408975072256,2.25,
2025 Panini Phoenix Marvin Harrison Jr. #150,2025,2025 Panini Phoenix,150,Marvin Harrison Jr.,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082941441011166208-1-eSLy.jpg,,,1082941441011166208,1.45,
2025 Panini Select Nico Collins #35,2025,2025 Panini Select,35,Nico Collins,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082941458065206272-1-CFJg.jpg,,,1082941458065206272,1.75,
2025 Panini Mosaic - Mosaic Green Dylan Sampson #355 (RC),2025,2025 Panini Mosaic - Mosaic Green,355,Dylan Sampson,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082941476989905920-1-NU3t.jpg,,,1082941476989905920,1.79,
2025 Topps Chrome Nic Scourton #353 (RC),2025,2025 Topps Chrome,353,Nic Scourton,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082951110022736896-1-VIX.jpg,,,1082951110022736896,1.00,
2025 Panini Select Tony Pollard #25,2025,2025 Panini Select,25,Tony Pollard,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082951145078729728-1-wt6m.jpg,,,1082951145078729728,2.24,
2025 Panini Select Rome Odunze #74,2025,2025 Panini Select,74,Rome Odunze,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082951182340926464-1-4ec5.jpg,,,1082951182340926464,0.99,
2025 Panini Select Alec Pierce #32,2025,2025 Panini Select,32,Alec Pierce,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082951205577370624-1-7cpR.jpg,,,1082951205577370624,0.99,
2025 Panini Select Ricky Pearsall #16,2025,2025 Panini Select,16,Ricky Pearsall,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082951224283966464-1-RWf.jpg,,,1082951224283966464,0.99,
2025 Panini Select Jalen Milroe #14,2025,2025 Panini Select,14,Jalen Milroe,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082892691270085632-1-3EAL.jpg,,,1082892691270085632,1.32,
2025 Panini Select De’Von Achane #81,2025,2025 Panini Select,81,De’Von Achane,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082892706545740800-1-UM1k.jpg,,,1082892706545740800,1.00,
2025 Donruss Optic Geno Smith #144,2025,2025 Donruss Optic,144,Geno Smith,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082892724665134080-1-e1S8.jpg,,,1082892724665134080,3.00,
2024 Panini Select - Red & Yellow Prizm Shock Xavier Worthy #119 (RC),2024,2024 Panini Select - Red & Yellow Prizm Shock,119,Xavier Worthy,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082892748950154240-1-Batf.jpg,,,1082892748950154240,1.49,
2025 Panini Select Jayden Daniels #88,2025,2025 Panini Select,88,Jayden Daniels,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082892788963814400-1-LTuT.jpg,,,1082892788963814400,1.25,
2025 Panini Select - Silver Prizm Tank Bigsby #129,2025,2025 Panini Select - Silver Prizm,129,Tank Bigsby,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082892818709818368-1-1pyU.jpg,,,1082892818709818368,0.99,
2025 Panini Select Demetrius Knight Jr. #58 (RC),2025,2025 Panini Select,58,Demetrius Knight Jr.,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082892843313605632-1-kcMP.jpg,,,1082892843313605632,1.00,
2025 Panini Select Brian Thomas Jr. #30,2025,2025 Panini Select,30,Brian Thomas Jr.,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082892860560583680-1-vZ7L.jpg,,,1082892860560583680,0.16,
2025 Panini Select - White Prizm Shock Joe Andreessen #285 (SN799),2025,2025 Panini Select - White Prizm Shock,285,Joe Andreessen,Football,SN799,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082892883578924032-1-qDJJ.jpg,,,1082892883578924032,1.12,
2025 Panini Select Jameson Williams #171,2025,2025 Panini Select,171,Jameson Williams,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082892972967930880-1-bEg2.jpg,,,1082892972967930880,0.99,
2025 Panini Select Harold Fannin Jr. #155 (RC),2025,2025 Panini Select,155,Harold Fannin Jr.,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082892991146044416-1-Zuq.jpg,,,1082892991146044416,1.00,
2025 Panini Select Trey Benson #23,2025,2025 Panini Select,23,Trey Benson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082893008401411072-1-eIt.jpg,,,1082893008401411072,0.14,
2025 Panini Select - Select Future TreVeyon Henderson #15,2025,2025 Panini Select - Select Future,15,TreVeyon Henderson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082876988007471104-1-PIL5.jpg,,,1082876988007471104,1.00,
2025 Panini Select Will Johnson #122 (RC),2025,2025 Panini Select,122,Will Johnson,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082877010438608896-1-6PuR.jpg,,,1082877010438608896,1.19,
2025 Panini Select - Silver Prizm Travis Hunter #28 (RC),2025,2025 Panini Select - Silver Prizm,28,Travis Hunter,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082877028507670528-1-rws.jpg,,,1082877028507670528,1.99,
2025 Panini Select Tai Felton #64 (RC),2025,2025 Panini Select,64,Tai Felton,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082877042709583872-1-3NDJ.jpg,,,1082877042709583872,0.89,
2025 Panini Select - Silver Prizm Travis Hunter #28 (RC),2025,2025 Panini Select - Silver Prizm,28,Travis Hunter,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082877074779232256-1-pn7.jpg,,,1082877074779232256,1.99,
2025 Panini Select Benjamin Morrison #39 (RC),2025,2025 Panini Select,39,Benjamin Morrison,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082877089392187392-1-oHAl.jpg,,,1082877089392187392,1.48,
2025 Panini Select Bo Nix #411,2025,2025 Panini Select,411,Bo Nix,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082877131259729920-1-4q9h.jpg,,,1082877131259729920,6.35,
2025 Topps Chrome Trevon Diggs #83,2025,2025 Topps Chrome,83,Trevon Diggs,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082877150561916928-1-NhTN.jpg,,,1082877150561916928,,
2025 Panini Select Stefon Diggs #79,2025,2025 Panini Select,79,Stefon Diggs,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082877170241591296-1-D7jX.jpg,,,1082877170241591296,1.19,
2025 Panini Select Jameson Williams #171,2025,2025 Panini Select,171,Jameson Williams,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082877236192827392-1-Atyr.jpg,,,1082877236192827392,0.99,
2025 Panini Select Luther Burden III #72 (RC),2025,2025 Panini Select,72,Luther Burden III,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082877258682685440-1-poOx.jpg,,,1082877258682685440,1.25,
2025 Panini Select - Turbocharged Derrick Henry #17,2025,2025 Panini Select - Turbocharged,17,Derrick Henry,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082880741464954880-1-C1l6.jpg,,,1082880741464954880,1.00,
2025 Topps Chrome - Topps Refractor Tank Dell #123,2025,2025 Topps Chrome - Topps Refractor,123,Tank Dell,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082874575678691328-1-LG6y.jpg,,,1082874575678691328,0.99,
2025 Topps Chrome - Refractor Erik McCoy #223,2025,2025 Topps Chrome - Refractor,223,Erik McCoy,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082874606230001664-1-BjVx.jpg,,,1082874606230001664,,
2025 Topps Chrome - Refractor Jordan James #329 (RC),2025,2025 Topps Chrome - Refractor,329,Jordan James,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082874637771167744-1-g7Yo.jpg,,,1082874637771167744,,
2025 Topps Chrome - Refractor Christian Watson #112,2025,2025 Topps Chrome - Refractor,112,Christian Watson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082874694293608448-1-Yk9M.jpg,,,1082874694293608448,,
2025 Topps Chrome Kolton Miller #183,2025,2025 Topps Chrome,183,Kolton Miller,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082874714065557504-1-T9qJ.jpg,,,1082874714065557504,1.99,
2025 Topps Chrome Cameron Dicker #162,2025,2025 Topps Chrome,162,Cameron Dicker,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082874726916904960-1-cEfR.jpg,,,1082874726916904960,1.49,
2025 Topps Chrome Kool-Aid McKinstry #224,2025,2025 Topps Chrome,224,Kool-Aid McKinstry,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082874761276643328-1-EMS.jpg,,,1082874761276643328,1.25,
2025 Topps Chrome Courtland Sutton #86,2025,2025 Topps Chrome,86,Courtland Sutton,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082874797901305856-1-a6vd.jpg,,,1082874797901305856,2.49,
2025 Topps Chrome Darius Robinson #9,2025,2025 Topps Chrome,9,Darius Robinson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082874810593269760-1-1AZ.jpg,,,1082874810593269760,,
2025 Topps Chrome Jake Ferguson #75,2025,2025 Topps Chrome,75,Jake Ferguson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082874823461394432-1-NINl.jpg,,,1082874823461394432,1.50,
2025 Topps Chrome Chris Godwin #283,2025,2025 Topps Chrome,283,Chris Godwin,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082874887030265856-1-m8wH.jpg,,,1082874887030265856,3.62,
2025 Topps Chrome Cam Robinson #124,2025,2025 Topps Chrome,124,Cam Robinson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082874910191212544-1-4yBI.jpg,,,1082874910191212544,1.99,
2025 Topps Chrome - Refractor Christian Kirk #117,2025,2025 Topps Chrome - Refractor,117,Christian Kirk,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082867094835517440-1-B0TE.jpg,,,1082867094835517440,,
2025 Topps Chrome Jahdae Barron #359 (RC),2025,2025 Topps Chrome,359,Jahdae Barron,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082867114565523456-1-n0kg.jpg,,,1082867114565523456,,
2025 Topps Chrome Jonah Savaiinaea #380 (RC),2025,2025 Topps Chrome,380,Jonah Savaiinaea,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082867153723545600-1-o2bD.jpg,,,1082867153723545600,,
2025 Topps Chrome Tyler Warren #346 (RC),2025,2025 Topps Chrome,346,Tyler Warren,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082867167808018432-1-QlpF.jpg,,,1082867167808018432,4.00,
2025 Topps Chrome DJ Giddens #390 (RC),2025,2025 Topps Chrome,390,DJ Giddens,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082867180659365888-1-Hj8.jpg,,,1082867180659365888,,
2025 Topps Chrome Jack Sawyer #357 (RC),2025,2025 Topps Chrome,357,Jack Sawyer,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082867201177901056-1-H0vj.jpg,,,1082867201177901056,3.00,
2025 Topps Chrome Will Johnson #349 (RC),2025,2025 Topps Chrome,349,Will Johnson,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082867263966631936-1-97m4.jpg,,,1082867263966631936,2.99,
2025 Topps Chrome - Topps Refractor Mark Andrews #23,2025,2025 Topps Chrome - Topps Refractor,23,Mark Andrews,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082867318576470016-1-1osv.jpg,,,1082867318576470016,1.89,
2025 Topps Chrome Quincy Riley #369 (RC),2025,2025 Topps Chrome,369,Quincy Riley,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082867332048574464-1-dKyi.jpg,,,1082867332048574464,,
2025 Topps Chrome Landon Jackson #358 (RC),2025,2025 Topps Chrome,358,Landon Jackson,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082867352701327360-1-E3kz.jpg,,,1082867352701327360,0.99,
2025 Topps Chrome - 1975 Topps Aaron Rodgers #1975-28,2025,2025 Topps Chrome - 1975 Topps,1975-28,Aaron Rodgers,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082867407537657856-1-5v1v.jpg,,,1082867407537657856,1.50,
2025 Topps Chrome - Refractor Garrett Williams #6,2025,2025 Topps Chrome - Refractor,6,Garrett Williams,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082867423132080128-1-MKTi.jpg,,,1082867423132080128,,
"2025 Topps Chrome - Yellow Wave Refractor Gunnar Helm #305 (RC, SN275)",2025,2025 Topps Chrome - Yellow Wave Refractor,305,Gunnar Helm,Football,"RC, SN275",,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082863350639056896-1-eHnV.jpg,,,1082863350639056896,2.85,
2025 Topps Chrome - Pink X-Fractor Jaylon Johnson #57,2025,2025 Topps Chrome - Pink X-Fractor,57,Jaylon Johnson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082863441672230912-1-8WXi.jpg,,,1082863441672230912,2.19,
2025 Topps Chrome Chase Brown #62,2025,2025 Topps Chrome,62,Chase Brown,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082863462224320512-1-EgJ3.jpg,,,1082863462224320512,1.24,
2025 Topps Chrome Brock Purdy #262,2025,2025 Topps Chrome,262,Brock Purdy,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082863475125999616-1-rKLm.jpg,,,1082863475125999616,1.99,
2025 Topps Chrome - Hot Pink X-Fractor Jonnu Smith #257,2025,2025 Topps Chrome - Hot Pink X-Fractor,257,Jonnu Smith,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082863489428576256-1-HjE3.jpg,,,1082863489428576256,,
2025 Topps Chrome Lamar Jackson #24,2025,2025 Topps Chrome,24,Lamar Jackson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082863507170482176-1-Ecz1.jpg,,,1082863507170482176,11.06,
2025 Topps Chrome Brandin Cooks #217,2025,2025 Topps Chrome,217,Brandin Cooks,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082863526078404608-1-O0Re.jpg,,,1082863526078404608,,
