TONIGHT'S LISTING QUEUE — 170 cards (batches 167-185) — awaiting JC card-by-card OK

=== CHASE (10) ===
  $ 99.99  2025 Topps Signature Class Dak Prescott Roses Acetate SSP Dallas Cowboys Football  [batch185#0]
  $ 34.99  2025 Topps Signature Class Jackson Hawes RC Auto /100 Buffalo Bills Football  [batch179#0]
  $ 28.99  2025 Topps Signature Class Brock Bowers Orange 12/50 Las Vegas Raiders Football  [batch185#4]
  $ 24.99  2025 Panini Donruss Threads Christian McCaffrey Relic 49ers Football  [batch175#0]
  $ 14.99  2025 Panini Optic Dillon Gabriel First Year Fresh RC Relic Browns Football  [batch170#0]
  $ 14.99  2025 Panini Donruss Optic Howie Long Orange 37/79 Raiders Football  [batch173#0]
  $ 14.99  2024 Panini Select Willie Gault Auto Chicago Bears Football  [batch181#0]
  $ 12.99  2025 Panini Prizm Malaki Starks Rookie Gear RC Jersey Relic Ravens Football  [batch175#1]
  $ 11.99  2025 Panini Optic Mason Taylor First Year Fresh RC Relic Jets Football  [batch175#2]
  $  5.99  2025 Topps Signature Class In Session Marvin Harrison Jr RC Arizona Cardinals Football  [batch179#8]
  $  4.99  2025 Panini Donruss Optic Emeka Egbuka Rated Rookie RC Buccaneers Football  [batch171#3]
  $  4.99  2025 Panini Donruss Optic Emeka Egbuka Rated Rookie RC Tampa Bay Buccaneers Football  [batch171#8]
  $  4.99  2025 Topps Signature Class Class Action Jayden Daniels RC Washington Commanders Football  [batch179#2]
  $  4.99  2025 Topps Signature Class The Pick Malaki Starks RC Baltimore Ravens Football  [batch179#7]
  $  4.99  2024 Panini Select Select Certified Jayden Daniels RC Washington Commanders Football  [batch183#2]
  $  4.99  2024 Panini Select Future Jayden Daniels RC Washington Commanders Football  [batch183#7]
  $  4.99  2025 Topps Signature Class Marvin Harrison Jr RC Round 1 Pick 4 Arizona Cardinals Football  [batch185#2]
  $  3.99  2025 Panini Donruss Optic Jayden Daniels Commanders Football  [batch171#7]
  $  3.99  2025 Topps Signature Class Shedeur Sanders RC Round 1 Pick 5 Cleveland Browns Football  [batch177#2]
  $  3.99  2025 Topps Signature Class Emeka Egbuka RC Round 1 Pick 19 Tampa Bay Buccaneers Football  [batch177#4]
  $  3.99  2025 Topps Signature Class Jayden Daniels RC Round 1 Pick 2 Washington Commanders Football  [batch178#0]
  $  3.99  2025 Topps Signature Class Jayden Daniels RC Round 1 Pick 2 Washington Commanders Football  [batch178#4]
  $  3.99  2025 Topps Signature Class Ashton Jeanty RC Round 1 Pick 6 Las Vegas Raiders Football  [batch178#8]
  $  3.99  2025 Topps Signature Class Drake Maye RC Round 1 Pick 3 New England Patriots Football  [batch180#3]
  $  3.99  2024 Panini Select Jayden Daniels RC Washington Commanders Football  [batch181#1]
  $  3.99  2024 Panini Select Drake Maye RC New England Patriots Football  [batch181#2]
  $  3.99  2024 Panini Select Jayden Daniels RC Washington Commanders Football  [batch183#8]
  $  3.99  2025 Topps Signature Class Class Icons Emeka Egbuka RC Tampa Bay Buccaneers Football  [batch184#1]

=== BULK (128) ===
  $  7.99  2025 Panini Donruss Optic Joe Burrow Passing Grade Cincinnati Bengals Football  [batch167#5]
  $  7.99  2025 Panini Donruss Optic Lamar Jackson Purple Baltimore Ravens Football  [batch171#4]
  $  6.99  2025 Panini Prizm Tyler Warren RC Indianapolis Colts Football  [batch174#1]
  $  6.99  2025 Panini Prizm Marshall Faulk Purple Indianapolis Colts Football  [batch175#4]
  $  6.99  2024 Panini Select Justin Jefferson Numbers Minnesota Vikings Football  [batch180#1]
  $  6.99  2025 Panini Select CeeDee Lamb Red Blue Dallas Cowboys Football  [batch182#8]
  $  6.99  2025 Topps Signature Class Paramount Pairings Joe Burrow Ja'Marr Chase Bengals Football  [batch183#0]
  $  6.99  2024 Panini Select Brock Purdy Field Level San Francisco 49ers Football  [batch184#3]
  $  5.99  2025 Panini Select Josh Allen Turbocharged Buffalo Bills Football  [batch168#2]
  $  5.99  2025 Panini Select Josh Allen Turbocharged Bills Football  [batch168#7]
  $  5.99  2025 Panini Donruss Optic Colston Loveland Red RC Chicago Bears Football  [batch169#5]
  $  5.99  2025 Panini Donruss Optic Keon Coleman Josh Allen Best Buddies Bills Football  [batch172#7]
  $  5.99  2025 Panini Prizm Will Johnson Purple RC Arizona Cardinals Football  [batch174#3]
  $  5.99  2024 Panini Select George Kittle Club Level San Francisco 49ers Football  [batch176#5]
  $  5.99  2024 Panini Select Caleb Williams Numbers RC Chicago Bears Football  [batch176#8]
  $  5.99  2025 Topps Signature Class Tony Pollard Fractal 118/275 Tennessee Titans Football  [batch179#5]
  $  5.99  2024 Panini Select Josh Allen Turbocharged Buffalo Bills Football  [batch180#2]
  $  5.99  2024 Panini Select Brock Purdy Numbers San Francisco 49ers Football  [batch180#5]
  $  5.99  2024 Panini Select Lamar Jackson Turbocharged Baltimore Ravens Football  [batch182#3]
  $  5.99  2024 Panini Select Turbocharged CeeDee Lamb Dallas Cowboys Football  [batch183#4]
  $  5.99  2024 Panini Select Tyreek Hill Turbocharged Miami Dolphins Football  [batch184#0]
  $  5.99  2025 Topps Signature Class Paramount Pairings Justin Herbert Ladd McConkey Chargers Football  [batch184#5]
  $  5.99  2025 Topps Signature Class Sunday Showcase Lamar Jackson Baltimore Ravens Football  [batch185#7]
  $  4.99  2025 Panini Donruss Optic Omarion Hampton Rated Rookie RC Chargers Football  [batch167#2]
  $  4.99  2025 Panini Donruss Optic Mason Graham Blue Rated Rookie RC Browns Football  [batch167#8]
  $  4.99  2025 Panini Select CJ Stroud Suite Level Houston Texans Football  [batch168#5]
  $  4.99  2025 Panini Donruss Optic Will Johnson Blue Rated Rookie RC Cardinals Football  [batch169#2]
  $  4.99  2025 Panini Donruss Optic Brock Purdy Red San Francisco 49ers Football  [batch169#6]
  $  4.99  2025 Panini Donruss Optic Will Johnson Red Rated Rookie RC Cardinals Football  [batch171#1]
  $  4.99  2025 Panini Donruss Optic Mason Graham Red Rated Rookie RC Browns Football  [batch171#2]
  $  4.99  2025 Panini Donruss Optic Riley Leonard Blue Rated Rookie RC Colts Football  [batch172#2]
  $  4.99  2025 Panini Donruss Optic RJ Harvey Green Rated Rookie RC Broncos Football  [batch172#8]
  $  4.99  2025 Panini Prizm Luther Burden III Emergent RC Chicago Bears Football  [batch174#4]
  $  4.99  2025 Topps Signature Class The Pick George Kittle San Francisco 49ers Football  [batch179#3]
  $  4.99  2024 Panini Select Joe Burrow Turbocharged Cincinnati Bengals Football  [batch180#7]
  $  4.99  2024 Panini Select Jaylen Waddle Numbers Miami Dolphins Football  [batch181#3]
  $  4.99  2024 Panini Select Puka Nacua Numbers Los Angeles Rams Football  [batch182#0]
  $  4.99  2024 Panini Select Brian Thomas Jr Numbers Jacksonville Jaguars Football  [batch182#4]
  $  4.99  2024 Panini Select Turbocharged CJ Stroud Houston Texans Football  [batch183#3]
  $  4.99  2025 Topps Signature Class Sunday Showcase Josh Allen Buffalo Bills Football  [batch184#2]
  $  4.99  2025 Panini Prizm Brian Thomas Jr Jacksonville Jaguars Football  [batch184#6]
  $  4.99  2025 Topps Signature Class Class Action Tetairoa McMillan RC Carolina Panthers Football  [batch185#5]
  $  3.99  2025 Panini Phoenix Brock Purdy San Francisco 49ers Football  [batch167#1]
  $  3.99  2025 Panini Donruss Optic Harold Fannin Jr Rated Rookie RC Browns Football  [batch167#3]
  $  3.99  2025 Panini Donruss Optic CJ Stroud Houston Texans Football  [batch167#4]
  $  3.99  2025 Panini Phoenix CJ Stroud Houston Texans Football  [batch168#3]
  $  3.99  2025 Panini Select Will Johnson Suite Level RC Arizona Cardinals Football  [batch168#6]
  $  3.99  2025 Panini Donruss Optic Mason Graham Rated Rookie RC Cleveland Browns Football  [batch169#1]
  $  3.99  2025 Topps Signature Class Myles Garrett Round 1 Pick 1 Browns Football  [batch169#3]
  $  3.99  2025 Panini Donruss Optic Mykel Williams Rated Rookie RC 49ers Football  [batch169#8]
  $  3.99  2025 Panini Donruss Optic Dillon Gabriel Rated Rookie RC Cleveland Browns Football  [batch170#7]
  $  3.99  2025 Panini Donruss Optic CJ Stroud Houston Texans Football  [batch171#5]
  $  3.99  2025 Panini Donruss Optic Dillon Gabriel Rated Rookie RC Cleveland Browns Football  [batch171#6]
  $  3.99  2025 Panini Donruss Optic Cameron Heyward Chain Reaction Steelers Football  [batch172#1]
  $  3.99  2025 Panini Donruss Optic KeAndre Lambert-Smith Blue RC Chargers Football  [batch172#3]
  $  3.99  2025 Panini Donruss Optic DeVon Achane Chain Reaction Miami Dolphins Football  [batch172#4]
  $  3.99  2025 Panini Donruss Optic Tre Harris Blue Rated Rookie RC Chargers Football  [batch172#5]
  $  3.99  2025 Panini Donruss Optic Pat Bryant Rookie Recruits RC Denver Broncos Football  [batch172#6]
  $  3.99  2025 Panini Donruss Optic Jaylin Lane Green Rated Rookie RC Commanders Football  [batch173#1]
  $  3.99  2025 Panini Donruss Optic James Pearce Jr Blue Rated Rookie RC Falcons Football  [batch173#5]
  $  3.99  2025 Panini Prizm Tyler Booker Purple RC Dallas Cowboys Football  [batch174#5]
  $  3.99  2025 Panini Prizm Chase Brown Purple Cincinnati Bengals Football  [batch174#6]
  $  3.99  2025 Panini Prizm Terrance Ferguson Purple RC Los Angeles Rams Football  [batch174#7]
  $  3.99  2025 Panini Prizm LJarius Sneed Purple Tennessee Titans Football  [batch174#8]
  $  3.99  2025 Panini Prizm Brashard Smith Purple RC Kansas City Chiefs Football  [batch175#5]
  $  3.99  2025 Panini Prizm Pat Bryant Purple RC Denver Broncos Football  [batch175#6]
  $  3.99  2025 Topps Signature Class Brock Purdy Round 7 Pick 41 San Francisco 49ers Football  [batch176#1]
  $  3.99  2024 Panini Select CJ Stroud Houston Texans Football  [batch176#2]
  $  3.99  2025 Topps Signature Class Brock Purdy Round 7 Pick 41 San Francisco 49ers Football  [batch176#3]
  $  3.99  2025 Topps Signature Class George Kittle Round 5 San Francisco 49ers Football  [batch176#6]
  $  3.99  2025 Topps Signature Class Ja'Marr Chase Round 1 Pick 5 Cincinnati Bengals Football  [batch177#0]
  $  3.99  2025 Topps Signature Class Tyreek Hill Round 5 Pick 26 Miami Dolphins Football  [batch177#1]
  $  3.99  2025 Topps Signature Class Lamar Jackson Round 1 Pick 32 Baltimore Ravens Football  [batch177#3]
  $  3.99  2025 Topps Signature Class Brian Thomas Jr RC Round 1 Pick 23 Jacksonville Jaguars Football  [batch177#5]
  $  3.99  2025 Topps Signature Class George Kittle Round 5 San Francisco 49ers Football  [batch177#6]
  $  3.99  2025 Topps Signature Class Patrick Mahomes Round 1 Pick 10 Kansas City Chiefs Football  [batch177#7]
  $  3.99  2025 Topps Signature Class Ja'Marr Chase Round 1 Pick 5 Cincinnati Bengals Football  [batch178#1]
  $  3.99  2025 Topps Signature Class Brock Purdy Round 7 Pick 41 San Francisco 49ers Football  [batch178#2]
  $  3.99  2025 Topps Signature Class Lamar Jackson Round 1 Pick 32 Baltimore Ravens Football  [batch178#3]
  $  3.99  2025 Topps Signature Class Justin Jefferson Round 1 Pick 22 Minnesota Vikings Football  [batch178#5]
  $  3.99  2025 Topps Signature Class CJ Stroud Round 1 Pick 2 Houston Texans Football  [batch178#6]
  $  3.99  2025 Topps Signature Class Patrick Mahomes Round 1 Pick 10 Kansas City Chiefs Football  [batch178#7]
  $  3.99  2025 Topps Signature Class Zach Ertz Teal 225/225 Washington Commanders Football  [batch179#1]
  $  3.99  2025 Topps Signature Class George Kittle Round 5 San Francisco 49ers Football  [batch179#4]
  $  3.99  2025 Topps Signature Class Total Touchdowns Josh Jacobs Green Bay Packers Football  [batch179#6]
  $  3.99  2025 Topps Signature Class CeeDee Lamb Round 1 Pick 17 Dallas Cowboys Football  [batch180#0]
  $  3.99  2025 Panini Donruss Optic George Kittle San Francisco 49ers Football  [batch180#4]
  $  3.99  2024 Panini Select Jaylen Waddle Miami Dolphins Football  [batch180#8]
  $  3.99  2024 Panini Select Derrick Henry Baltimore Ravens Football  [batch181#4]
  $  3.99  2024 Panini Select CJ Stroud Houston Texans Football  [batch181#5]
  $  3.99  2024 Panini Select Josh Allen Buffalo Bills Football  [batch181#6]
  $  3.99  2024 Panini Select George Kittle San Francisco 49ers Football  [batch181#7]
  $  3.99  2024 Panini Select Future CJ Stroud Houston Texans Football  [batch181#8]
  $  3.99  2025 Panini Donruss Optic Mason Graham Red Rated Rookie RC Cleveland Browns Football  [batch182#1]
  $  3.99  2025 Panini Select Joe Burrow Cincinnati Bengals Football  [batch182#2]
  $  3.99  2024 Panini Select Patrick Mahomes Kansas City Chiefs Football  [batch182#5]
  $  3.99  2025 Topps Signature Class Joe Burrow Round 1 Pick 1 Cincinnati Bengals Football  [batch182#6]
  $  3.99  2024 Panini Select Tyreek Hill Miami Dolphins Football  [batch182#7]
  $  3.99  2024 Panini Select Lamar Jackson Baltimore Ravens Football  [batch183#1]
  $  3.99  2024 Panini Select Jaylen Waddle Miami Dolphins Football  [batch183#5]
  $  3.99  2025 Topps Signature Class Class Icons Roquan Smith Chicago Bears Football  [batch184#4]
  $  3.99  2025 Topps Signature Class Sunday Showcase Trevor Lawrence Jacksonville Jaguars Football  [batch184#7]
  $  3.99  2024 Panini Select Patrick Mahomes Kansas City Chiefs Football  [batch184#8]
  $  3.99  2025 Topps Signature Class Devin Neal RC 203/250 New Orleans Saints Football  [batch185#3]
  $  3.99  2025 Topps Signature Class CJ Stroud Round 1 Pick 2 Houston Texans Football  [batch185#6]
  $  3.99  2025 Topps Signature Class George Kittle Round 5 San Francisco 49ers Football  [batch185#8]
  $  2.99  2025 Panini Donruss Optic Caleb Williams Chicago Bears Football  [batch167#6]
  $  2.99  2025 Panini Mosaic Omarion Hampton RC Los Angeles Chargers Football  [batch168#0]
  $  2.99  2025 Panini Phoenix Josh Jacobs Green Bay Packers Football  [batch168#8]
  $  2.99  2025 Panini Donruss Optic Will Johnson Rated Rookie RC Arizona Cardinals Football  [batch170#1]
  $  2.99  2025 Panini Phoenix Caleb Williams Chicago Bears Football  [batch170#2]
  $  2.99  2025 Panini Donruss Optic Kyle Williams Rated Rookie RC Patriots Football  [batch170#4]
  $  2.99  2025 Panini Donruss Optic Mykel Williams Rated Rookie RC 49ers Football  [batch170#5]
  $  2.99  2025 Panini Donruss Optic Colston Loveland Rated Rookie RC Bears Football  [batch170#6]
  $  2.99  2025 Panini Donruss Optic Devin Neal Blue Rated Rookie RC Saints Football  [batch173#2]
  $  2.99  2025 Panini Donruss Optic Jimmy Horn Jr Green Rated Rookie RC Panthers Football  [batch173#3]
  $  2.99  2025 Panini Donruss Optic Trey Amos Green Rated Rookie RC Commanders Football  [batch173#4]
  $  2.99  2025 Panini Donruss Optic Tyler Shough Green Rated Rookie RC Saints Football  [batch173#6]
  $  2.99  2025 Panini Donruss Optic Jackson Hawes Blue Rated Rookie RC Bills Football  [batch173#7]
  $  2.99  2025 Panini Donruss Optic Tai Felton Green Rated Rookie RC Vikings Football  [batch173#8]
  $  2.99  2025 Panini Prizm Jamien Sherwood Purple New York Jets Football  [batch175#7]
  $  2.99  2025 Panini Prizm James Conner Purple Arizona Cardinals Football  [batch175#8]
  $  2.99  2025 Topps Signature Class Caleb Williams Round 1 Pick 1 Chicago Bears Football  [batch176#0]
  $  2.99  2025 Topps Signature Class Puka Nacua Round 5 Pick 42 Los Angeles Rams Football  [batch176#4]
  $  2.99  2025 Topps Signature Class Omarion Hampton RC Round 1 Pick 22 Los Angeles Chargers Football  [batch176#7]
  $  2.99  2025 Topps Signature Class Puka Nacua Round 5 Pick 42 Los Angeles Rams Football  [batch177#8]
  $  2.99  2025 Panini Donruss Optic Myles Garrett Cleveland Browns Football  [batch180#6]
  $  1.99  2025 Panini Phoenix Arik Armstead Jacksonville Jaguars Football  [batch168#1]

